Module,File Count,Total LOC,Swift Files,Swift LOC,Obj-C Files,Obj-C LOC,C/C++ Files,C/C++ LOC,Header Files,Header LOC,Avg LOC/File,Size Category
Tests/CoreTests,6,831,6,831,0,0,0,0,0,0,138,Small (6-10 files)
Features,10,825,10,825,0,0,0,0,0,0,82,Small (6-10 files)
Services,9,642,9,642,0,0,0,0,0,0,71,Small (6-10 files)
CoreErrors,10,614,10,614,0,0,0,0,0,0,61,Small (6-10 files)
CoreTypesImplementation,7,569,7,569,0,0,0,0,0,0,81,Small (6-10 files)
ResticTypes,7,454,7,454,0,0,0,0,0,0,64,Small (6-10 files)
CoreTypesInterfaces,8,421,8,421,0,0,0,0,0,0,52,Small (6-10 files)
Resources,6,384,6,384,0,0,0,0,0,0,64,Small (6-10 files)
CoreTypesInterfaces/Sources,6,276,6,276,0,0,0,0,0,0,46,Small (6-10 files)
SecurityTypes,6,184,6,184,0,0,0,0,0,0,30,Small (6-10 files)

Medium (11-20 files),,,,,,,,,,,,
XPCProtocolsCore,15,3432,15,3432,0,0,0,0,0,0,228,Medium (11-20 files)
SecurityBridge/Sources,16,3227,16,3227,0,0,0,0,0,0,201,Medium (11-20 files)
XPCProtocolsCore/Sources,11,2304,11,2304,0,0,0,0,0,0,209,Medium (11-20 files)
Repositories,16,1835,16,1835,0,0,0,0,0,0,114,Medium (11-20 files)
UmbraSecurity,12,1213,12,1213,0,0,0,0,0,0,101,Medium (11-20 files)
SecurityProtocolsCore,13,1014,13,1014,0,0,0,0,0,0,78,Medium (11-20 files)
SecurityProtocolsCore/Sources,12,919,12,919,0,0,0,0,0,0,76,Medium (11-20 files)
CryptoTypes,12,537,12,537,0,0,0,0,0,0,44,Medium (11-20 files)
UmbraLogging,20,356,20,356,0,0,0,0,0,0,17,Medium (11-20 files)

Large (21-50 files),,,,,,,,,,,,
SecurityBridge,27,6375,27,6375,0,0,0,0,0,0,236,Large (21-50 files)
SecurityImplementation,30,6297,30,6297,0,0,0,0,0,0,209,Large (21-50 files)
SecurityImplementation/Sources,29,5576,29,5576,0,0,0,0,0,0,192,Large (21-50 files)
Tests/UmbraTestKit,27,3648,27,3648,0,0,0,0,0,0,135,Large (21-50 files)
ResticCLIHelper,28,2559,28,2559,0,0,0,0,0,0,91,Large (21-50 files)
Core,21,2068,21,2068,0,0,0,0,0,0,98,Large (21-50 files)

X-Large (51-100 files),,,,,,,,,,,,
ErrorHandling,95,14515,95,14515,0,0,0,0,0,0,152,X-Large (51-100 files)

XX-Large (100+ files),,,,,,,,,,,,
UmbraCore,621,79291,575,66037,0,0,0,0,1,7,127,XX-Large (100+ files)

